,Unnamed: 0,time,median_100_200Hz,avg_100_200Hz,median_400_600Hz,avg_400_600Hz,median_800_1000Hz,avg_800_1000Hz,median_1000_1200Hz,avg_1000_1200Hz,median_1600_1800Hz,avg_1600_1800Hz,median_2000_2600Hz,avg_2000_2600Hz,median_3000_4000Hz,avg_3000_4000Hz
37,37,2023-06-03 18:45:00,-9.372537480442658,-9.150645425909364,-9.52060302623246,-9.224096899874716,-8.521969640294822,-8.345507035305681,-8.944301408940342,-8.756133942891282,-9.94378872365484,-9.74559489104091,-10.687676195760774,-10.468578806293166,-11.532379217843328,-11.320214900812156
38,38,2023-06-03 19:15:00,-9.38507164544575,-9.169395670755842,-9.52060302623246,-9.220901848428577,-8.517850473096667,-8.345507035305681,-8.944301408940342,-8.756133942891282,-9.934823725708872,-9.720630699018894,-10.687633206042468,-10.465061260518311,-11.532379217843328,-11.314756471170266
39,39,2023-06-03 19:45:00,-9.372537480442658,-9.150645425909364,-9.514789191774216,-9.208352792132697,-8.512662496319768,-8.341773028799373,-8.896342444146358,-8.731806513911817,-9.8912831118659,-9.687891372377234,-10.68026323016982,-10.463578918491963,-11.526036624226608,-11.305479220256988
40,40,2023-06-03 20:15:00,-9.38507164544575,-9.169395670755842,-9.52060302623246,-9.198719587357344,-8.51009042308957,-8.338365750983742,-8.89852811880069,-8.730773827587093,-9.791328837111289,-9.599409542481276,-10.616312616106848,-10.391558983719897,-11.526036624226608,-11.305479220256988
41,41,2023-06-03 20:45:00,-9.38507164544575,-9.169395670755842,-9.52060302623246,-9.193891208330797,-8.485392562037713,-8.314739423330337,-8.891376392850482,-8.720843910254006,-9.791328837111289,-9.599409542481276,-10.616312616106848,-10.391558983719897,-11.524321273377366,-11.304075339001592
42,42,2023-06-03 21:15:00,-9.547468456389716,-9.338890589880716,-9.528834677367763,-9.193891208330797,-8.472150433748528,-8.297234758675563,-8.864721132445988,-8.69702684759409,-9.791328837111289,-9.599409542481276,-10.616312616106848,-10.391558983719897,-11.524027614114004,-11.301819918141378
43,43,2023-06-03 21:45:00,-9.547468456389716,-9.338890589880716,-9.5418491101594,-9.179176351307447,-8.460323228995225,-8.29077384461176,-8.831348617434758,-8.658575747762416,-9.791328837111289,-9.599409542481276,-10.616312616106848,-10.391558983719897,-11.515771651612624,-11.288824474937227
44,44,2023-06-03 22:15:00,-9.65048792892398,-9.446454208074329,-9.5418491101594,-9.177446999275553,-8.458231644113175,-8.279497371270958,-8.818479452198385,-8.649867187384471,-9.828284252473509,-9.651767557430622,-10.677084945199312,-10.464532016871289,-11.515771651612624,-11.288824474937227
45,45,2023-06-03 22:45:00,-9.690190782586848,-9.46713875726354,-9.550316779388211,-9.177446999275553,-8.418114870084656,-8.244806147372364,-8.831348617434758,-8.658575747762416,-9.944864108352364,-9.773997943241287,-10.684520751663264,-10.465750057770371,-11.515771651612624,-11.288824474937227
46,46,2023-06-03 23:15:00,-9.937900636345104,-9.7162294194139,-9.550316779388211,-9.177446999275553,-8.418114870084656,-8.244806147372364,-8.808853956523649,-8.643603633766546,-9.97161508560923,-9.805478038344717,-10.71501616815724,-10.509453014570632,-11.515422039178,-11.288824474937227
47,47,2023-06-03 23:45:00,-9.940302346459989,-9.732994259247718,-9.550316779388211,-9.179176351307447,-8.416181709680421,-8.241689359515878,-8.808853956523649,-8.643603633766546,-9.984411782271517,-9.815057934739311,-10.729837497305464,-10.525133349799985,-11.515422039178,-11.288824474937227
48,0,2023-06-04 00:15:00,-9.963244607350513,-9.76158124889252,-9.543107069799577,-9.196583527025576,-8.416181709680421,-8.241689359515878,-8.808853956523649,-8.643603633766546,-9.984411782271517,-9.815057934739311,-10.759004920631464,-10.556389783138332,-11.515422039178,-11.288824474937227
49,1,2023-06-04 00:45:00,-9.940302346459989,-9.732994259247718,-9.543107069799577,-9.19939970822942,-8.456491991580597,-8.285911069247787,-8.823860016150231,-8.651551971326725,-9.986228866518957,-9.820620798466305,-10.788563400232702,-10.58728656788589,-11.515422039178,-11.29044394364408
50,2,2023-06-04 01:15:00,-10.059087768315358,-9.853217009353502,-9.541528446627494,-9.205472498359434,-8.456491991580597,-8.285911069247787,-8.840674262885486,-8.660896027637042,-10.023252813296931,-9.849373971667674,-10.791851762919624,-10.591767249583208,-11.514854088883077,-11.297012887685929
51,3,2023-06-04 01:45:00,-9.940302346459989,-9.732994259247718,-9.536801185111544,-9.210008606361344,-8.462058132534123,-8.290942768211947,-8.850602604528907,-8.67073870074182,-10.04896241258381,-9.873433707441844,-10.797817181336326,-10.597036701881676,-11.514854088883077,-11.297012887685929
